Full Name,Date of Birth,Identification,Phone Number,Account Number,Enquiry Reason
Kwame Asante,1970-01-01,361100000,0244000000,10000000,
Ama Owusu,1971-02-02,361110007,0244000131,,Application for credit by a borrower
Kofi Addo,1972-03-03,361120014,0244000262,,Application for credit by a borrower
Akosua Nkrumah,1973-04-04,361130021,0244000393,10000051,Application for credit by a borrower
Yaw Sarpong,1974-05-05,361140028,0244000524,,
Abena Armah,1975-06-06,361150035,0244000655,,Application for credit by a borrower
Kojo Lartey,1976-07-07,361160042,0244000786,10000102,Application for credit by a borrower
Afia Boateng,1977-08-08,361170049,0244000917,,Application for credit by a borrower
Kwesi Appiah,1978-09-09,361180056,0244001048,,
Esi Agyeman,1979-10-10,361190063,0244001179,10000153,Application for credit by a borrower
Nii Darko,1980-11-11,361200070,0244001310,,Application for credit by a borrower
Adwoa Arthur,1981-12-12,361210077,0244001441,,Application for credit by a borrower
Kweku Annan,1982-01-13,361220084,0244001572,10000204,
Akua Aboagye,1983-02-14,361230091,0244001703,,Application for credit by a borrower
Fiifi Mensah,1984-03-15,361240098,0244001834,,Application for credit by a borrower
Maame Ofori,1985-04-16,361250105,0244001965,10000255,Application for credit by a borrower
Kwabena Danso,1986-05-17,361260112,0244002096,,
Efua Opoku,1987-06-18,361270119,0244002227,,Application for credit by a borrower
Kwadwo Quaye,1988-07-19,361280126,0244002358,10000306,Application for credit by a borrower
Yaa Tetteh,1989-08-20,361290133,0244002489,,Application for credit by a borrower
Kwame Asante,1990-09-21,361300140,0244002620,,
Ama Owusu,1991-10-22,361310147,0244002751,10000357,Application for credit by a borrower
Kofi Addo,1992-11-23,361320154,0244002882,,Application for credit by a borrower
Akosua Nkrumah,1993-12-24,361330161,0244003013,,Application for credit by a borrower
Yaw Sarpong,1994-01-25,361340168,0244003144,10000408,
Abena Armah,1995-02-26,361350175,0244003275,,Application for credit by a borrower
Kojo Lartey,1996-03-27,361360182,0244003406,,Application for credit by a borrower
Afia Boateng,1997-04-01,361370189,0244003537,10000459,Application for credit by a borrower
Kwesi Appiah,1998-05-02,361380196,0244003668,,
Esi Agyeman,1999-06-03,361390203,0244003799,,Application for credit by a borrower
Nii Darko,1970-07-04,361400210,0244003930,10000510,Application for credit by a borrower
Adwoa Arthur,1971-08-05,361410217,0244004061,,Application for credit by a borrower
Kweku Annan,1972-09-06,361420224,0244004192,,
Akua Aboagye,1973-10-07,361430231,0244004323,10000561,Application for credit by a borrower
